Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	threshold
ENSSSCG00000029540	0.6942795473812636	2.6079546299410485	2.9136484261385385	0.8950821267744282	0.37074318757476654	NA	NA
ENSSSCG00000031143	1.6433191011441082	2.2547311729181607	0.8123022973362767	2.775729159343677	0.0055078069335740545	NA	NA
ENSSSCG00000009497	1.2562894118403003	2.243944820116516	0.6972262822443817	3.218388172191709	0.0012891322769239815	NA	NA
ENSSSCG00000024917	0.3599675194046141	1.8388050400853435	2.070651907552043	0.8880319446155522	0.37452356821565225	NA	NA
ENSSSCG00000035548	0.47640124200783546	1.834083352751816	1.1927997058903912	1.537628944486304	0.1241393661615549	NA	NA
ENSSSCG00000038434	0.3253117368971238	1.7171274573681004	2.9224639605097322	0.58756155099637275	0.5568266250152959	NA	NA
ENSSSCG00000023333	1.2578628991103529	1.696335507886709	0.7630320944679639	2.2231509266586036	0.026205624599664648	NA	NA
ENSSSCG00000038769	0.516666644624309	1.6554025417407037	0.9166284684024387	1.8059689381302435	0.07092319160946733	NA	NA
ENSSSCG00000034022	0.9250044062665151	1.600995713388372	0.9550263683610721	1.6763890154528955	0.0936620191049551	NA	NA
ENSSSCG00000032981	0.4897035284368359	1.5952255056024225	0.7939580804758971	2.0092062097866012	0.04451526943838091	NA	NA
ENSSSCG00000026409	1.2916367016847055	1.5781323445320534	1.356794884237187	1.1631325875902796	0.24477571226345357	NA	NA
ENSSSCG00000022014	0.5395668982003619	1.5677396887776545	0.8636171349510928	1.8153179520534137	0.06947506174215283	NA	NA
ENSSSCG00000004355	1.1751149209196161	1.566674820467723	1.172064599723322	1.3366795830516105	0.18132724916909768	NA	NA
ENSSSCG00000031921	3.9921349790584117	1.555652623067174	0.4854517997610372	3.204545999897294	0.001352756721986943	NA	NA
ENSSSCG00000034220	3.2499579764381576	1.5480935332327197	0.7396976709236684	2.0928733374266253	0.036360462927703854	NA	NA
ENSSSCG00000000442	0.4729665286001361	1.533810538880567	2.190937632299617	0.7000703791237879	0.48388335321236914	NA	NA
ENSSSCG00000002941	0.5058060499786591	1.526405140686446	0.8566543259045865	1.7818215522050092	0.07477833649375942	NA	NA
ENSSSCG00000006932	0.4570442351972034	1.5191382422920567	0.8165865177486116	1.8603518540575852	0.06283576165945015	NA	NA
ENSSSCG00000024387	0.34007496793324277	1.5064968402544796	1.3863526397766086	1.0866620779091463	0.27718617920324923	NA	NA
ENSSSCG00000008159	0.3510080080783283	1.4976348081883397	1.257297176145355	1.1911541969574895	0.23359305682112275	NA	NA
ENSSSCG00000018957	0.5248852508318589	1.4934926221298253	0.7248628403323449	2.060379618087566	0.039362263839606976	NA	NA
ENSSSCG00000040499	1.277939956069451	1.4913445610401692	0.6293790037287823	2.369549273497584	0.017809781815901586	NA	NA
ENSSSCG00000033256	0.9398917351855953	1.4865511756352392	0.5576762032515783	2.665617013901215	0.007684718300571402	NA	NA
ENSSSCG00000033225	0.6922007262948398	1.480969231948258	0.9685265851192424	1.529095075656519	0.1262408759532959	NA	NA
ENSSSCG00000011862	1.4153608172481893	1.4807896766757391	0.5969597635713308	2.48055190155006	0.013117916475273552	NA	NA
ENSSSCG00000040670	0.40853421002046936	1.4670920993851417	0.950547521260086	1.5434179423668397	0.12272940307549919	NA	NA
ENSSSCG00000017314	1.5832963647377951	1.4447119631358858	0.5473508496063394	2.6394623561376367	0.008303764470128372	NA	NA
ENSSSCG00000033740	0.4478824961914096	1.3988607774304123	1.0940199652175326	1.2786428236273235	0.2010228625472985	NA	NA
ENSSSCG00000017534	0.24904022690942013	1.376818111870696	2.9215782133204287	0.47125834440896797	0.6374562586199009	NA	NA
ENSSSCG00000040654	0.46438039014623894	1.3728703176432335	0.6692266839339003	2.0514279400413633	0.04022529045521728	NA	NA
ENSSSCG00000028425	0.9509945652055437	1.3707384299349663	0.5106363429718621	2.684373035333482	0.007266597743968552	NA	NA
ENSSSCG00000028040	1.8750277556549841	1.359850714433478	0.8739430117104413	1.5559947230106461	0.11970934719805097	NA	NA
ENSSSCG00000006726	1.9089189726296503	1.3298711662081537	0.5951233112728369	2.2346144757190807	0.025442669670311047	NA	NA
ENSSSCG00000013015	0.38568991291615023	1.3099520301532042	1.009171429265525	1.2980470831468023	0.19427115634143666	NA	NA
ENSSSCG00000039502	0.5037034694877163	1.3024776223729397	1.2745536830480417	1.0219087981120725	0.3068240679506308	NA	NA
ENSSSCG00000035667	0.5221651982325844	1.3020578020332263	0.7754748486507919	1.6790458185698847	0.09314311444920134	NA	NA
ENSSSCG00000001484	0.9250365964574387	1.300293328883594	0.6206535382204019	2.095038936879215	0.036167531343106005	NA	NA
ENSSSCG00000006772	0.7080308003065195	1.283444657010761	0.586239507208887	2.189283801634761	0.028576218955022617	NA	NA
ENSSSCG00000036053	0.937001138819839	1.271369571943956	0.7911637514851599	1.6069613522578117	0.10806284635349055	NA	NA
ENSSSCG00000031553	0.550904247886483	1.2595924319007674	0.7442932942782466	1.6923334411096835	0.09058241512003973	NA	NA
ENSSSCG00000018184	0.4588329699659757	1.2594070860657585	0.7634449765393923	1.6496370069451567	0.09901720121831759	NA	NA
ENSSSCG00000033405	0.4133434643275213	1.2544040938086634	0.8049984005676427	1.558269051123733	0.11916948222931052	NA	NA
ENSSSCG00000018631	0.40420329103228037	1.2483820236008283	1.0700288788407375	1.1666806833786743	0.24333934648026048	NA	NA
ENSSSCG00000012255	0.28173953820575753	1.232134482185438	1.3857234272792083	0.8891633481326547	0.3739152975606936	NA	NA
ENSSSCG00000039606	0.6966224740787272	1.230617771693559	0.6561463131168956	1.875523411611883	0.06072075178499399	NA	NA
ENSSSCG00000019173	0.7321575773258926	1.224736629791942	0.6380785132021073	1.919413684133906	0.054932000492414604	NA	NA
ENSSSCG00000040153	0.34587464374524757	1.2182317385178862	1.0964351579594358	1.1110841618624532	0.26653212452894415	NA	NA
ENSSSCG00000035915	0.38235259033269525	1.212634401940889	1.0995584134059389	1.1028376365969421	0.27009768052525174	NA	NA
ENSSSCG00000034396	0.30576373161096	1.2096166493224878	2.9252895166771755	0.4135032250402642	0.6792379600611386	NA	NA
ENSSSCG00000040986	0.24013861724566699	1.2093860791634985	1.138718404937396	1.0620589549792934	0.2882089219502425	NA	NA
